Strategy,Iteration,Horizon,TargetBps,EntryThreshold,ExitThreshold,TrendMin,StopLossPct,TrailingStopPct,TakeProfitPct,MaxHoldBars,AvgReturnPct,MinReturnPct,MaxDrawdownPct,AvgSharpe,PositiveAssetCount,ObjectiveScore,MeetsStoppingConditions,AMD_ReturnPct,AMD_MaxDrawdownPct,AMD_Sharpe,AMD_Trades,AMZN_ReturnPct,AMZN_MaxDrawdownPct,AMZN_Sharpe,AMZN_Trades,GOOGL_ReturnPct,GOOGL_MaxDrawdownPct,GOOGL_Sharpe,GOOGL_Trades,NVDA_ReturnPct,NVDA_MaxDrawdownPct,NVDA_Sharpe,NVDA_Trades,AAPL_ReturnPct,AAPL_MaxDrawdownPct,AAPL_Sharpe,AAPL_Trades,META_ReturnPct,META_MaxDrawdownPct,META_Sharpe,META_Trades,TSLA_ReturnPct,TSLA_MaxDrawdownPct,TSLA_Sharpe,TSLA_Trades,NFLX_ReturnPct,NFLX_MaxDrawdownPct,NFLX_Sharpe,NFLX_Trades
per_asset_arx_v012_h5_e57,12,5,75.0,0.58,0.45999999999999996,1.0,,,,,-4.7274,-23.9141,23.9141,-0.421564,3,-95.14104,False,-23.9141,23.9141,-1.883979,1.0,0.0472,7.5109,0.085445,3.0,0.3876,9.785,0.147431,5.0,0.1428,7.3347,0.09365,4.0,-5.0549,9.0734,-0.737167,5.0,-2.7666,11.1716,-0.286677,1.0,-1.373,4.2023,-0.317009,1.0,-5.2883,15.2445,-0.474203,1.0
per_asset_arx_v013_h7_e57,13,7,125.0,0.58,0.45999999999999996,1.0,,,,,1.1867,-15.6014,26.8665,-0.746575,1,-102.108724,False,57.1117,26.8665,2.104364,2.0,-10.2277,11.6572,-1.950718,3.0,-6.9897,14.6309,-0.909713,4.0,-6.7025,8.6691,-0.913906,1.0,-15.6014,15.6976,-2.261379,8.0,-0.9933,8.2492,-0.04178,3.0,-1.815,1.815,-1.525263,1.0,-5.2883,15.2445,-0.474203,1.0
per_asset_arx_v014_h10_e57,14,10,125.0,0.58,0.45999999999999996,1.0,,,,,7.9387,-12.4598,28.5269,0.025536,2,-82.510503,False,80.1684,28.5269,2.48052,2.0,-1.6111,7.6033,-0.227527,2.0,-3.164,11.1195,-0.225548,4.0,-4.9914,9.2546,-0.432797,2.0,-12.4598,12.4598,-1.785205,8.0,12.5204,8.2492,1.050642,7.0,0.0,0.0,0.0,0.0,-6.9527,16.734,-0.655796,2.0
per_asset_arx_v015_h15_e57,15,15,125.0,0.58,0.45999999999999996,1.0,,,,,5.2126,-13.3894,29.4219,-0.235869,4,-70.303637,False,70.4944,29.4219,2.261953,2.0,0.0603,7.6033,0.077552,4.0,-2.7195,16.7027,-0.129816,4.0,1.5322,13.0695,0.250867,1.0,2.2548,12.8603,0.359318,4.0,-8.9551,14.6343,-0.790081,5.0,-7.5769,7.5769,-2.385951,2.0,-13.3894,16.734,-1.530791,3.0
per_asset_arx_v016_h3_e62,16,3,0.0,0.62,0.5,1.0,,,,,-0.7557,-5.9258,8.2799,-0.191023,1,-27.829021,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0435,7.5179,0.440073,7.0,0.0,0.0,0.0,0.0,-5.9258,8.2799,-1.189385,3.0,0.0,0.0,0.0,0.0,-3.1631,5.9411,-0.778872,2.0,0.0,0.0,0.0,0.0
per_asset_arx_v017_h5_e62,17,5,0.0,0.62,0.5,1.0,,,,,-2.8952,-18.9756,21.9912,-0.476826,2,-87.773626,False,-18.9756,21.9912,-1.501501,1.0,-1.0105,1.0105,-1.593194,1.0,-1.6118,9.6948,-0.24771,1.0,5.5061,4.1457,0.8887,3.0,-9.0734,9.0734,-1.655651,3.0,6.3697,4.2573,1.372339,1.0,0.0,0.0,0.0,0.0,-4.3659,8.2762,-1.077588,1.0
per_asset_arx_v018_h7_e62,18,7,0.0,0.62,0.5,1.0,,,,,-2.6077,-13.6007,26.8665,-0.464514,2,-91.337603,False,-13.6007,26.8665,-0.831607,2.0,0.0,0.0,0.0,0.0,4.2411,9.785,0.556596,5.0,-4.7823,12.4554,-0.49683,3.0,-7.2439,10.8529,-1.117781,5.0,4.6855,5.5729,0.776444,2.0,-1.815,1.815,-1.525263,1.0,-2.3461,5.0519,-1.077672,2.0
per_asset_arx_v019_h10_e62,19,10,25.0,0.62,0.5,1.0,,,,,5.1378,-8.2946,34.2407,0.240087,3,-83.693362,False,41.7762,34.2407,1.784069,2.0,-1.0501,6.0191,-0.171642,2.0,6.5425,9.785,0.839628,3.0,-7.075,10.5732,-0.675604,2.0,-8.2946,11.8018,-1.194754,6.0,9.2031,5.9152,1.339003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
per_asset_arx_v020_h15_e62,20,15,25.0,0.62,0.5,2.0,,,,,0.8498,-14.4179,28.5269,-0.502628,1,-104.571982,False,45.964,28.5269,1.860798,2.0,-2.7441,2.7441,-1.497006,1.0,-4.1132,14.805,-0.299431,5.0,-5.881,9.4242,-0.53759,2.0,-6.3523,12.8603,-0.878928,3.0,-5.6573,12.9249,-0.673323,2.0,0.0,0.0,0.0,0.0,-14.4179,17.2394,-1.995546,2.0
per_asset_arx_v021_h3_e50,21,3,25.0,0.5,0.38,2.0,,,,,-4.7713,-22.8915,28.5269,-0.824274,1,-127.783498,False,48.6395,28.5269,2.012935,2.0,-22.8915,27.282,-2.576833,7.0,-0.2349,16.0676,0.112738,6.0,-4.1188,19.243,-0.260921,3.0,-15.715,18.7788,-2.388787,4.0,-13.44,22.0986,-0.884074,5.0,-19.6245,21.9302,-1.552198,7.0,-10.7848,20.1632,-1.057053,5.0
